estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
142,705,16,"(512, 512)","(8, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
143,705,16,"(512, 512)","(8, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
144,705,16,"(512, 512)","(8, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
145,705,16,"(512, 512)","(8, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
146,705,16,"(512, 512)","(8, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
147,705,16,"(512, 512)","(8, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
148,705,16,"(512, 512)","(16, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
149,705,16,"(512, 512)","(16, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
150,705,16,"(512, 512)","(16, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
151,705,16,"(512, 512)","(16, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
152,705,16,"(512, 512)","(16, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
153,705,16,"(512, 512)","(16, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
154,705,16,"(512, 512)","(32, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
155,705,16,"(512, 512)","(32, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
156,705,16,"(512, 512)","(32, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
157,705,16,"(512, 512)","(32, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
158,705,16,"(512, 512)","(32, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
159,705,16,"(512, 512)","(64, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
160,705,16,"(512, 512)","(64, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
161,705,16,"(512, 512)","(64, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
162,705,16,"(512, 512)","(64, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
163,705,16,"(512, 512)","(128, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
164,705,16,"(512, 512)","(128, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
165,705,16,"(512, 512)","(128, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
166,705,16,"(512, 512)","(256, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
167,705,16,"(512, 512)","(256, 2)",16384,1.947466541963465e-05,1540.4629221385005,Compute
168,705,16,"(512, 512)","(512, 1)",16384,1.947466541963465e-05,1540.4629221385005,Compute
169,705,32,"(512,)","(16,)",32,0.00036894237591911764,81.31351115540284,Trip_Count
170,705,32,"(512, 512)","(1, 16)",16384,3.380286025103401e-05,887.4988618480094,Compute
171,705,32,"(512,)","(32,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
172,705,32,"(512, 512)","(1, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
173,705,32,"(512,)","(64,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
174,705,32,"(512, 512)","(1, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
175,705,32,"(512,)","(128,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
176,705,32,"(512, 512)","(1, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
177,705,32,"(512,)","(256,)",16,0.00036894237591911764,81.31351115540284,Trip_Count
178,705,32,"(512, 512)","(1, 256)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
179,705,32,"(512,)","(512,)",16,0.00073273828125,40.9423129208182,Trip_Count
180,705,32,"(512, 512)","(1, 512)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
181,705,32,"(512, 512)","(2, 8)",16384,3.380286025103401e-05,887.4988618480094,Compute
182,705,32,"(512, 512)","(2, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
183,705,32,"(512, 512)","(2, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
184,705,32,"(512, 512)","(2, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
185,705,32,"(512, 512)","(2, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
186,705,32,"(512, 512)","(2, 256)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
187,705,32,"(512, 512)","(4, 4)",16384,3.380286025103401e-05,887.4988618480094,Compute
188,705,32,"(512, 512)","(4, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
189,705,32,"(512, 512)","(4, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
190,705,32,"(512, 512)","(4, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
191,705,32,"(512, 512)","(4, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
192,705,32,"(512, 512)","(4, 128)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
193,705,32,"(512, 512)","(8, 2)",16384,3.380286025103401e-05,887.4988618480094,Compute
194,705,32,"(512, 512)","(8, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
195,705,32,"(512, 512)","(8, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
196,705,32,"(512, 512)","(8, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
197,705,32,"(512, 512)","(8, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
198,705,32,"(512, 512)","(8, 64)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
199,705,32,"(512, 512)","(16, 1)",16384,3.380286025103401e-05,887.4988618480094,Compute
200,705,32,"(512, 512)","(16, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
201,705,32,"(512, 512)","(16, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
202,705,32,"(512, 512)","(16, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
203,705,32,"(512, 512)","(16, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
204,705,32,"(512, 512)","(16, 32)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
205,705,32,"(512, 512)","(32, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
206,705,32,"(512, 512)","(32, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
207,705,32,"(512, 512)","(32, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
208,705,32,"(512, 512)","(32, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
209,705,32,"(512, 512)","(32, 16)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
210,705,32,"(512, 512)","(64, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
211,705,32,"(512, 512)","(64, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
212,705,32,"(512, 512)","(64, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
213,705,32,"(512, 512)","(64, 8)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
214,705,32,"(512, 512)","(128, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
215,705,32,"(512, 512)","(128, 2)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
216,705,32,"(512, 512)","(128, 4)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
217,705,32,"(512, 512)","(256, 1)",8192,2.2340304385914524e-05,1342.8644248426124,Compute
